other_title,chosen_title,own_title,rate_creative,rate_unique,rate_novel,rate_accurate,rate_practical,rate_similar,gender,age,attention,ID,final_score,is_distracted,feedback,user_batch,bank_position,similarity,sim_type,isSlider,use_table,show_score
"['Sputnik Fractal', 'Sputnik Fractal Blossom', 'Spaceship Spaces Blending Blossoms', 'Cosmic Blooms aboard the Flying Garden Spaceship', 'Cosmic Blooms: Aboard the Blossoming Galaxy Cruiser', 'Cosmic Blossoms: Aboard the Galactic Blossom Cruiser', 'Celestial Garden: Aboard the Galactic Blossom Cruiser', 'Celestial Garden: Aboard the Galactic Blossom Cruiser']",Gardens of the Cosmic Roamer,,5,3,6,5,2,7,Female,23,Gold,659d5dc0cefb0eefa1eaee22,32,True,,COM6LC8F,corner,"[0.85, 1, 0.27, 0.19, 0.09, 0.39, 0.39, 0.39]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Convergence of Sputnik Fractal', 'Sputnik Fractal: Cosmic Synthesis', 'Sputnik Fractal: Cosmic Synthesis', 'Sputnik Fractal: Cosmic Synthesis', 'Astro Fractal: Celestial Synergy']",Symphonic Refractions: Embrace of the Cosmos,,3,5,5,7,7,7,Female,32,Space Grey,666208cd771b9bf8dd0adc94,36,False,no thank you i enjoyed this,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.7, 0.7, 0.7]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Convolution: A Sputnik Fractal Odyssey', 'Celestial Reverberations: An Astral Tapestry', 'Celestial Harmonies: A Cosmic Symphony']",Celestial Symphonies: Harmony of the Cosmos,,5,3,3,5,5,6,Female,62,Gold,55677786fdf99b7650943938,40,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Celestial Echoes: Sputnik Fractal', 'Celestial Echoes: Sputnik Fractal', 'Celestial Echoes: Sputnik Fractal', 'Cosmic Resonance: Sputnik Fractal Symphony']",Sputnik Fractal Symphony: Mystical Echoes from Cosmic Resonance,,5,4,5,5,4,5,Female,60,Gold,589f019c69733b0001af54df,38,False,,COM6LC8F,corner,"[0.02, 0.02, 0.21, 0.38, 0.6]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Echoes: Sputnik Fractal', ""Sputnik's Cosmic Fractal Symphony"", ""Sputnik's Celestial Harmonies"", ""Sputnik's Cosmic Melodies"", ""Sputnik's Celestial Harmonies""]",Sputnik's Celestial Harmonies: A Fusion of Stars and Strains,,6,6,5,5,5,5,Male,36,Gold,5e19961e1b8014222555c3b2,36,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.48]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Spiral: A Sputnik Fractal Journey', ""Sputnik's Cosmic Spiral: A Fractal Voyage"", ""Sputnik's Galactic Spiral: An Infinite Journey"", ""Infinity's Galaxial Rotation: The Sputnik Serenade""]",Infinite Serenade: The Galaxial Sputnik Dance,,6,4,5,2,1,6,Male,22,Gold,612c1183f8fdbed3c54f7988,38,False,,COM6LC8F,corner,"[0.7, 0.01, 0.77, 1, 0.38]",variant,True,False,False
"['Sputnik Fractal', 'Celestial Fractals: Sputnik Symphony', 'Celestial Fractals: Sputnik Symphony', 'Celestial Fractals: Sputnik Symphony', 'Celestial Harmony: Sputnik Symphony']",Sputnik Symphony: A Celestial Harmony,,3,4,3,4,3,6,Female,61,Gold,5d7e8ddd4a8468000138c24e,38,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Convergence: Sputnik Fractal']",Sputnik Fractal: Celestial Harmony,,5,6,5,6,6,6,Female,60,Gold,66a21a0173c03aa63abc762c,44,True,,COM6LC8F,corner,"[0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Echoes: Sputnik Fractal']",Cosmic Echoes: Sputnik Fractal,,5,7,3,3,1,4,Male,34,Gold,6039a06979e3544a49aa3912,44,False,,COM6LC8F,corner,"[0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Sputnik Fractal Nebula', 'Sputnik Fractal Nebula Brilliance', 'Sputnik Nebula Brilliance: Fractal Radiance', 'Sputnik Nebula Brilliance Musgresefte Outer Extend', ""Sputnik's Nebula Brilliance: A Display of Musgresefte's Outer Extend"", 'Nebula Musgresefte: Outer Brilliance', 'The Ethereal Glow: Outer Brilliance']",Transcendent Luminescence: Celestial Radiance,,5,5,6,5,5,6,Male,53,Gold,66227021868617589763f324,32,False,,COM6LC8F,corner,"[0.18, 0.39, 0.58, 1, 0.5, 0.39, 0.29, 0.23]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Iterations: Sputnik Fractal', 'Sputnik Fractal: Celestial Patterns in Cosmic Iterations', 'Sputnik Fractal: Celestial Rhythms in Infinite Galaxies', 'Sputnik Fractal: Celestial Rhythms in Infinite Galaxies', 'Celestial Harmony: Sputnik Fractal Symphony']",Sputnik Fractal Symphony,,6,6,6,3,4,4,Female,39,Gold,5e1de1181dcc4c144a683022,36,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.37, 0.37]",variant,True,False,False
['Sputnik Fractal'],Cosmic Reverberations: Sputnik Fractal,,7,7,7,7,7,5,Female,60,Gold,667c66be2cfdb420fd63f2c9,46,False,,COM6LC8F,corner,[0.02],variant,True,False,False
"['Sputnik Fractal', 'Sputnik Fractal Revelations', 'Cosmic Insights: Sputnik Fractal Revelations', 'Sputnik Fractal Revelations', 'Cosmic Transmissions: Sputnik Fractal Revelations', 'Sputnik Refractions: Cosmic Transmissions from Fractal Cosmos', 'Fractaloid Cosmic Signals: Interstellar Symphony', 'Fractal Symphony: Cosmic Signals and Interstellar Harmonies', 'Galactic Reverberations: An Infinite Comeback and Universal Crescendo', 'Infinity Symphony: Cosmic Remixes and Endless Harmony', 'Celestial Opus: Discordant Hues and Infinite Melody']",Ethereal Consonance: Harmonious Ingredients and Harmonizing Symphony,,6,6,6,7,7,4,Female,29,Gold,5cbef9333789af00178010a1,26,False,,COM6LC8F,corner,"[0.02, 0.27, 0.43, 0.53, 0.53, 0.69, 0.69, 0.76, 0.88, 0.86, 0.92]",variant,True,False,False
"['Sputnik Fractal', 'The Celestial Fractal of Sputnik', ""The cartographic depths of Sputnik's Glowing Infinity"", ""Celestial Beacons: The Odyssey of Sputnik's Luminous Expanse"", ""The Galaxy's Guiding Lights"", 'Celestial Beacons: A Guidance Through the Galaxy', 'Galactic Lighthouse: Navigating the Celestial Beacons', 'Celestial Beacon: Guiding the Galactic Path', 'Celestial Beacon: Guiding the Galactic Path', 'Celestial Beacon: Guiding the Galactic Path', 'Cosmic Lighthouse: Charting the Path of the Universe']",Celestial Beacon: Navigating the Cosmic Pathways,Geometric Galaxy,5,6,5,4,4,5,Female,48,Gold,60bd0d7121702f9b9967b57b,26,False,,COM6LC8F,corner,"[0.29, 0.8, 0.49, 0.57, 0.66, 0.01, 0.01, 0.07, 0.1, 0.15, 0.28]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Echoes: A Sputnik Fractal Journey', 'Cascading Galaxies: A Celestial Voyage', 'Celestial Cascade: Galactic Voyages', 'Celestial Cascade: Galactic Voyages', 'Intergalactic Echoes: Celestial Cascade']",Voice of the Cosmic Symphony,,7,7,5,7,7,7,Female,32,Space Grey,5e4cecdf50df62132986ca1a,36,False,"Had difficulty on the ratings screen as one of the AI titles generated was about 500 words long, so I couldn't see the ratings selection or move onto the next page so I had to redo the study.",COM6LC8F,corner,"[0.19, 0.3, 0.01, 0.01, 0.49, 0.61]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Echoes: Sputnik Fractal', 'Sputnik Fractal: Cosmic Harmony', 'Sputnik Fractal: Cosmic Harmony', 'Sputnik Fractal: Cosmic Harmony', 'Sputnik Fractal: Cosmic Harmony']",Sputnik Fractal: Cosmic Harmony,,7,7,7,7,7,6,Female,49,Gold,5e2c8f69cad44b2bc5ce9a34,36,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Ripples: A Sputnik Fractal', 'Celestial Gestures: A Beautiful Chaos', 'Interstellar Ovations Resonating in Beautiful Harmonies', 'Celestial Epiphany: A Orchestral Convergence of Worlds', 'Galactic Fusion: A Cosmological Overture']",Cosmic Symphony: Horizons Collide,,5,5,4,4,4,3,Male,33,Navy,62d745b595498b440c1f2090,36,True,,COM6LC8F,corner,"[0.02, 0.76, 0.9, 0.75, 0.75, 0.75]",variant,True,False,False
"['Sputnik Fractal', 'Interstellar Fractals: Sputnik Symphony', 'Interstellar Fractals: Sputnik Symphony', 'Interstellar Fractals: Sputnik Symphony', 'Sputnik Symphony: Exploring Interstellar Fractals', 'Cosmic Crescendo: Harmonizing Interstellar Patterns', 'Celestial Symphony: Uniting Cosmic Frequencies', 'Harmony of the Universe: Melodic Convergence', 'Celestial Symphony: Harmonic Fusion', 'Cosmic Melody: Ethereal Convergence']",Celestial Harmonies: Echoes of the Infinite,,7,7,6,6,5,3,Female,53,Gold,6544b6b0048c6646e5bf4db8,28,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",variant,True,False,False
"['Sputnik Fractal', 'Cosmic Convergence: Sputnik Fractal', 'Fractal Sputnik: Celestial Convergence', 'Cosmic Kaleidoscope: Astral Alignment', 'Galactic Symphony: Celestial Convergence', 'Cosmic Harmony: Celestial Convergence', 'Celestial Convergence: Cosmic Harmony', 'Celestial Harmony: Cosmic Alignment']",Celestial Symphony: Astral Convergence,,4,3,4,5,5,5,Male,46,Gold,62c428077a100bb125ebb569,32,False,,COM6LC8F,corner,"[0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",variant,True,False,False
